,nickname,Visit,Title,Review,Traveler_type,Restaurant
1,loja2015,19-Nov,Amazing burgers!,We came here while visiting NYC and was not disappointed! In fact we came here for a second time during our 5 day stay! Burgers were amazing and the menu catered for everyone. Staff are super friendly too.,Business,Bareburger
2,775sharam,20-May,TERRIBLE EXPERIENCE !!!!,"Thanks for giving us a try! We are so glad you enjoyed it. Hopefully we will see you on your next visit :) 
Stay safe!",Families,Bareburger
3,riverhouse103,20-Mar,Earns high rating,My  boyfriend and I had two plant based burgers. We patiently waited about twenty minutes For the food (which we were very excited to try ). We were going to eat the food outside because it was a beautiful day but we decided to take...our food home instead. We when arrived home and began to eat our food we discovered the bread was ROCK hard .Not only was bread was rock hard it was enough onions to feed an entire family. We had high expectations for this place and were highly disappointed. Money was wasted (50 bucks to be exact) and  it was also about a twenty minute drive from home . We will not be going back again !!!More,Couples,Bareburger
4,Gates73,20-Feb,Amazing burgers.... best in NYC,Was in the neighborhood for a cup of coffee around the corner and decided to grab some lunch.  I used TripAdvisor to find something great and Bareburger caught my attention.  Dropped in and sat at the bar.  Had the original burger and some fries.  It...was great as well as the atmosphere.  Jesue behind the bar is an awesome addition to the place.  Excellent spot.More,Families,Bareburger
5,Z630GCsuef,20-Feb,Excellent burgers and milkshakes ,"Brilliant burger restaurant near Hells Kitchen in NYC. Delicious burgers, we tried beef, bison, buttermilk chicken and beyond burger.. all yummy! My daughter is vegetarian and the menu was a dream for her, so much choice. Really good sharing sides too, onions rings our fave....The menu  states sharer sides serve 2-4 but personally we had 4 between 5 of us and ate the lot! <U+0001F60B>
Oh ... and for New York this restaurant is a bargain!!!More",Couples,Bareburger
6,T6394EMannar,20-Feb,Best vegan Burger I ever had,"Excellent burgers, the El Dorado was superb. Hayley really looked after us too and the milkshakes are A-maz-ing! Definitely recommend a visit",Couples,Bareburger
7,tarlett95,20-Feb,Amazing GF burgers ,"Super yummy vegan Food, lovely employees and service! Wish they would expand to Germany! Really nice Location!",Families,Bareburger
8,Theyorkshirecurlew,20-Feb,Not your average burger place,Ate at Bareburger twice during our stay in NYC. The most amazing burgers! All organic and about 90% of the menu is gluten free!! Would highly recommend Bareburger. Staff are friendly and really helpful too!,Business,Bareburger
9,Bgrace12,20-Feb,Better than expected,"Traditional beef, buffalo, Vegan, gluten free, you name it it is all here. The most interesting burger restaurant I’ve been to in a while with more possible burger combinations than you could eat in a lifetime. Mighty fine burgers too. And a good selection of...drinks including craft beers and ciders. And great service as well. Excellent !More",Families,Bareburger
10,jiehyi_tan,20-Jan,Great choices for vegans,"As a vegan, this place exceeded my expectations. Half of the menu offered fully vegan options! It was great because my boyfriend is not vegan and he was happy to be able to order a bison burger while I had many options as well. There...are a ton of sides and burger options to suit any desire. There are also vegan milkshakes! If in the area, I highly recommend!More",Families,Bareburger
11,Kristy C,20-Jan,Experience,"Menus are half meat half vegans! As a vegetarian, I’m so happy to see it. Ordered the one with bacon (made by tempeh), it was soooooo good! Also don’t forget to get the waffles fries. Yummmmmmz",Families,Bareburger
12,katedoglover12,20-Jan,So very good. You won't be disappointed!,This is a hip take on a burger.  So many options to choose from.  Sweet potato fries are pretty good.  Will return.,Friends,Bareburger
13,yazBoston,20-Jan,Impossible burger was so good try it!!!,For both the meat eater and the vegan - these burgers were amazing. BUT so were the salads!!!! Also the waffle fries to die for. Short walk from times square. Just like be a his place. Oh and waiter Daniel P was great and oh...More,Business,Bareburger
14,GeorginaT481,20-Jan,Burger Heaven,"Impossible burger was so good - service was great Zac who served us could not have been nicer, he was so professional, informative and efficient and got us out in time for our show - Zac your a star!",Friends,Bareburger
15,1968LEG,20-Jan,A vegetarian and a gluten-free omnivore found fantastic burgers here!,"We wanted a good burger and this restaurant was only a few minutes from the hotel we were staying at. 

I had the American, my husband had the supreme and my daughter built her own. 

Amazing burgers and the milkshakes are pretty special too. 

Really...More",Solo,Bareburger
16,Robert T,20-Jan,Consistently Good Burgers,"My friend and I were in NYC for a short 1-day, 2-night visit in January and were directed here by a local who told us that we'd both find something to suit our vegetarian and gluten-free needs. We did, indeed! The service was great. The...More",Friends,Bareburger
